d	V(vc)	V(vg)	V(n001)	I(E1)	I(F1)	I(R1)	I(R2)	I(R2)*V(vc)/(V(vg)*I(R1))	I(V1)
0.000000000000000e+000	-9.803922e-001	1.000000e+000	9.803922e-001	9.803922e-001	9.803922e-001	-9.803922e-001	9.803922e-001	9.803922e-001	-9.803922e-001
1.000000000000000e-002	-9.995920e-001	1.000000e+000	9.796002e-001	1.019992e+000	9.995920e-001	-1.019992e+000	9.995920e-001	9.796001e-001	-1.019992e+000
2.000000000000000e-002	-1.019541e+000	1.000000e+000	9.787596e-001	1.062022e+000	1.019541e+000	-1.062022e+000	1.019541e+000	9.787597e-001	-1.062022e+000
3.000000000000000e-002	-1.040283e+000	1.000000e+000	9.778663e-001	1.106684e+000	1.040283e+000	-1.106684e+000	1.040283e+000	9.778664e-001	-1.106684e+000
4.000000000000000e-002	-1.061865e+000	1.000000e+000	9.769160e-001	1.154201e+000	1.061865e+000	-1.154201e+000	1.061865e+000	9.769160e-001	-1.154201e+000
5.000000000000000e-002	-1.084337e+000	1.000000e+000	9.759036e-001	1.204819e+000	1.084337e+000	-1.204819e+000	1.084337e+000	9.759036e-001	-1.204819e+000
6.000000000000001e-002	-1.107754e+000	1.000000e+000	9.748238e-001	1.258812e+000	1.107754e+000	-1.258812e+000	1.107754e+000	9.748237e-001	-1.258812e+000
7.000000000000001e-002	-1.132175e+000	1.000000e+000	9.736704e-001	1.316482e+000	1.132175e+000	-1.316482e+000	1.132175e+000	9.736704e-001	-1.316482e+000
8.000000000000000e-002	-1.157663e+000	1.000000e+000	9.724366e-001	1.378170e+000	1.157663e+000	-1.378170e+000	1.157663e+000	9.724366e-001	-1.378170e+000
9.000000000000000e-002	-1.184287e+000	1.000000e+000	9.711149e-001	1.444252e+000	1.184287e+000	-1.444252e+000	1.184287e+000	9.711150e-001	-1.444252e+000
9.999999999999999e-002	-1.212121e+000	1.000000e+000	9.696970e-001	1.515152e+000	1.212121e+000	-1.515152e+000	1.212121e+000	9.696970e-001	-1.515152e+000
1.100000000000000e-001	-1.241248e+000	1.000000e+000	9.681731e-001	1.591343e+000	1.241248e+000	-1.591343e+000	1.241248e+000	9.681732e-001	-1.591343e+000
1.200000000000000e-001	-1.271754e+000	1.000000e+000	9.665328e-001	1.673360e+000	1.271754e+000	-1.673360e+000	1.271754e+000	9.665328e-001	-1.673360e+000
1.300000000000000e-001	-1.303735e+000	1.000000e+000	9.647639e-001	1.761804e+000	1.303735e+000	-1.761804e+000	1.303735e+000	9.647639e-001	-1.761804e+000
1.400000000000000e-001	-1.337296e+000	1.000000e+000	9.628529e-001	1.857355e+000	1.337296e+000	-1.857355e+000	1.337296e+000	9.628528e-001	-1.857355e+000
1.500000000000000e-001	-1.372549e+000	1.000000e+000	9.607843e-001	1.960784e+000	1.372549e+000	-1.960784e+000	1.372549e+000	9.607844e-001	-1.960784e+000
1.600000000000000e-001	-1.409619e+000	1.000000e+000	9.585406e-001	2.072968e+000	1.409619e+000	-2.072968e+000	1.409619e+000	9.585407e-001	-2.072968e+000
1.700000000000000e-001	-1.448639e+000	1.000000e+000	9.561018e-001	2.194908e+000	1.448639e+000	-2.194908e+000	1.448639e+000	9.561018e-001	-2.194908e+000
1.800000000000000e-001	-1.489758e+000	1.000000e+000	9.534451e-001	2.327747e+000	1.489758e+000	-2.327747e+000	1.489758e+000	9.534451e-001	-2.327747e+000
1.900000000000000e-001	-1.533136e+000	1.000000e+000	9.505440e-001	2.472799e+000	1.533136e+000	-2.472799e+000	1.533136e+000	9.505440e-001	-2.472799e+000
2.000000000000000e-001	-1.578947e+000	1.000000e+000	9.473684e-001	2.631579e+000	1.578947e+000	-2.631579e+000	1.578947e+000	9.473685e-001	-2.631579e+000
2.100000000000001e-001	-1.627385e+000	1.000000e+000	9.438833e-001	2.805836e+000	1.627385e+000	-2.805836e+000	1.627385e+000	9.438833e-001	-2.805836e+000
2.200000000000001e-001	-1.678657e+000	1.000000e+000	9.400480e-001	2.997602e+000	1.678657e+000	-2.997602e+000	1.678657e+000	9.400479e-001	-2.997602e+000
2.300000000000001e-001	-1.732991e+000	1.000000e+000	9.358152e-001	3.209243e+000	1.732991e+000	-3.209243e+000	1.732991e+000	9.358151e-001	-3.209243e+000
2.400000000000001e-001	-1.790634e+000	1.000000e+000	9.311295e-001	3.443526e+000	1.790634e+000	-3.443526e+000	1.790634e+000	9.311294e-001	-3.443526e+000
2.500000000000001e-001	-1.851852e+000	1.000000e+000	9.259259e-001	3.703704e+000	1.851852e+000	-3.703704e+000	1.851852e+000	9.259259e-001	-3.703704e+000
2.600000000000001e-001	-1.916933e+000	1.000000e+000	9.201278e-001	3.993610e+000	1.916933e+000	-3.993610e+000	1.916933e+000	9.201278e-001	-3.993610e+000
2.700000000000001e-001	-1.986183e+000	1.000000e+000	9.136442e-001	4.317789e+000	1.986183e+000	-4.317789e+000	1.986183e+000	9.136442e-001	-4.317789e+000
2.800000000000001e-001	-2.059925e+000	1.000000e+000	9.063671e-001	4.681648e+000	2.059925e+000	-4.681648e+000	2.059925e+000	9.063671e-001	-4.681648e+000
2.900000000000001e-001	-2.138493e+000	1.000000e+000	8.981670e-001	5.091650e+000	2.138493e+000	-5.091650e+000	2.138493e+000	8.981670e-001	-5.091650e+000
3.000000000000001e-001	-2.222222e+000	1.000000e+000	8.888889e-001	5.555555e+000	2.222222e+000	-5.555555e+000	2.222222e+000	8.888890e-001	-5.555555e+000
3.100000000000001e-001	-2.311435e+000	1.000000e+000	8.783455e-001	6.082725e+000	2.311435e+000	-6.082725e+000	2.311435e+000	8.783455e-001	-6.082725e+000
3.200000000000001e-001	-2.406417e+000	1.000000e+000	8.663102e-001	6.684492e+000	2.406417e+000	-6.684492e+000	2.406417e+000	8.663102e-001	-6.684492e+000
3.300000000000001e-001	-2.507375e+000	1.000000e+000	8.525074e-001	7.374631e+000	2.507375e+000	-7.374631e+000	2.507375e+000	8.525073e-001	-7.374631e+000
3.400000000000001e-001	-2.614379e+000	1.000000e+000	8.366013e-001	8.169934e+000	2.614379e+000	-8.169934e+000	2.614379e+000	8.366014e-001	-8.169934e+000
3.500000000000001e-001	-2.727273e+000	1.000000e+000	8.181818e-001	9.090909e+000	2.727273e+000	-9.090909e+000	2.727273e+000	8.181818e-001	-9.090909e+000
3.600000000000002e-001	-2.845528e+000	1.000000e+000	7.967480e-001	1.016260e+001	2.845528e+000	-1.016260e+001	2.845528e+000	7.967479e-001	-1.016260e+001
3.700000000000002e-001	-2.968036e+000	1.000000e+000	7.716895e-001	1.141553e+001	2.968036e+000	-1.141553e+001	2.968036e+000	7.716894e-001	-1.141553e+001
3.800000000000002e-001	-3.092783e+000	1.000000e+000	7.422680e-001	1.288660e+001	3.092783e+000	-1.288660e+001	3.092783e+000	7.422680e-001	-1.288660e+001
3.900000000000002e-001	-3.216374e+000	1.000000e+000	7.076023e-001	1.461988e+001	3.216374e+000	-1.461988e+001	3.216374e+000	7.076023e-001	-1.461988e+001
4.000000000000002e-001	-3.333333e+000	1.000000e+000	6.666667e-001	1.666667e+001	3.333333e+000	-1.666667e+001	3.333333e+000	6.666667e-001	-1.666667e+001
4.100000000000002e-001	-3.435115e+000	1.000000e+000	6.183206e-001	1.908397e+001	3.435115e+000	-1.908397e+001	3.435115e+000	6.183207e-001	-1.908397e+001
4.200000000000002e-001	-3.508772e+000	1.000000e+000	5.614035e-001	2.192982e+001	3.508772e+000	-2.192982e+001	3.508772e+000	5.614035e-001	-2.192982e+001
4.300000000000002e-001	-3.535353e+000	1.000000e+000	4.949495e-001	2.525253e+001	3.535353e+000	-2.525253e+001	3.535353e+000	4.949495e-001	-2.525253e+001
4.400000000000002e-001	-3.488372e+000	1.000000e+000	4.186046e-001	2.906977e+001	3.488372e+000	-2.906977e+001	3.488372e+000	4.186047e-001	-2.906977e+001
4.500000000000002e-001	-3.333333e+000	1.000000e+000	3.333333e-001	3.333333e+001	3.333333e+000	-3.333333e+001	3.333333e+000	3.333333e-001	-3.333333e+001
4.600000000000002e-001	-3.030303e+000	1.000000e+000	2.424242e-001	3.787879e+001	3.030303e+000	-3.787879e+001	3.030303e+000	2.424242e-001	-3.787879e+001
4.700000000000003e-001	-2.542373e+000	1.000000e+000	1.525424e-001	4.237288e+001	2.542373e+000	-4.237288e+001	2.542373e+000	1.525424e-001	-4.237288e+001
4.800000000000003e-001	-1.851852e+000	1.000000e+000	7.407407e-002	4.629630e+001	1.851852e+000	-4.629630e+001	1.851852e+000	7.407407e-002	-4.629630e+001
4.900000000000003e-001	-9.803922e-001	1.000000e+000	1.960784e-002	4.901961e+001	9.803922e-001	-4.901961e+001	9.803922e-001	1.960784e-002	-4.901961e+001
5.000000000000002e-001	0.000000e+000	1.000000e+000	0.000000e+000	5.000000e+001	0.000000e+000	-5.000000e+001	0.000000e+000	0.000000e+000	-5.000000e+001
5.100000000000002e-001	9.803922e-001	1.000000e+000	1.960784e-002	4.901961e+001	-9.803922e-001	-4.901961e+001	-9.803922e-001	1.960784e-002	-4.901961e+001
5.200000000000002e-001	1.851852e+000	1.000000e+000	7.407407e-002	4.629630e+001	-1.851852e+000	-4.629630e+001	-1.851852e+000	7.407407e-002	-4.629630e+001
5.300000000000003e-001	2.542373e+000	1.000000e+000	1.525424e-001	4.237288e+001	-2.542373e+000	-4.237288e+001	-2.542373e+000	1.525424e-001	-4.237288e+001
5.400000000000003e-001	3.030303e+000	1.000000e+000	2.424242e-001	3.787879e+001	-3.030303e+000	-3.787879e+001	-3.030303e+000	2.424242e-001	-3.787879e+001
5.500000000000003e-001	3.333333e+000	1.000000e+000	3.333333e-001	3.333333e+001	-3.333333e+000	-3.333333e+001	-3.333333e+000	3.333333e-001	-3.333333e+001
5.600000000000003e-001	3.488372e+000	1.000000e+000	4.186046e-001	2.906977e+001	-3.488372e+000	-2.906977e+001	-3.488372e+000	4.186047e-001	-2.906977e+001
5.700000000000003e-001	3.535353e+000	1.000000e+000	4.949495e-001	2.525253e+001	-3.535353e+000	-2.525253e+001	-3.535353e+000	4.949495e-001	-2.525253e+001
5.800000000000003e-001	3.508772e+000	1.000000e+000	5.614035e-001	2.192982e+001	-3.508772e+000	-2.192982e+001	-3.508772e+000	5.614035e-001	-2.192982e+001
5.900000000000003e-001	3.435115e+000	1.000000e+000	6.183206e-001	1.908397e+001	-3.435115e+000	-1.908397e+001	-3.435115e+000	6.183207e-001	-1.908397e+001
6.000000000000003e-001	3.333333e+000	1.000000e+000	6.666667e-001	1.666667e+001	-3.333333e+000	-1.666667e+001	-3.333333e+000	6.666667e-001	-1.666667e+001
